hello
2020-01-17 01:36:55.758496	Temp=30.0* Humidity=36.0%
2020-01-17 01:46:57.249267	Temp=30.0* Humidity=35.0%
2020-01-17 01:56:57.853782	Temp=28.0* Humidity=47.0%
2020-01-17 02:06:58.475112	Temp=25.0* Humidity=74.0%
2020-01-17 02:16:59.069133	Temp=31.0* Humidity=19.0%
2020-01-17 02:26:59.610024	Temp=30.0* Humidity=15.0%
2020-01-17 02:37:00.223541	Temp=30.0* Humidity=15.0%
2020-01-17 02:47:00.767260	Temp=30.0* Humidity=15.0%
2020-01-17 02:57:01.393821	Temp=28.0* Humidity=24.0%
2020-01-17 03:07:02.020392	Temp=29.0* Humidity=17.0%
2020-01-17 03:17:02.646894	Temp=27.0* Humidity=38.0%
2020-01-17 03:27:03.273491	Temp=28.0* Humidity=21.0%
2020-01-17 03:37:03.899930	Temp=29.0* Humidity=16.0%
2020-01-17 03:47:04.435141	Temp=30.0* Humidity=20.0%
2020-01-17 03:57:05.057254	Temp=30.0* Humidity=22.0%
2020-01-17 04:07:05.597256	Temp=33.0* Humidity=10.0%
2020-01-17 04:17:06.137260	Temp=34.0* Humidity=10.0%
2020-01-17 04:27:06.763823	Temp=35.0* Humidity=10.0%
2020-01-17 04:37:07.390230	Temp=28.0* Humidity=60.0%
2020-01-17 04:47:07.947257	Temp=30.0* Humidity=55.0%
2020-01-17 04:57:08.522533	Temp=36.0* Humidity=11.0%
2020-01-17 05:07:09.148908	Temp=37.0* Humidity=11.0%
2020-01-17 05:17:09.736885	Temp=37.0* Humidity=11.0%
2020-01-17 05:27:10.363570	Temp=38.0* Humidity=12.0%
2020-01-17 05:37:10.927264	Temp=32.0* Humidity=43.0%
2020-01-17 05:47:11.553780	Temp=31.0* Humidity=43.0%
2020-01-17 05:57:12.180444	Temp=31.0* Humidity=51.0%
2020-01-17 06:07:12.807061	Temp=31.0* Humidity=19.0%
2020-01-17 06:17:13.433689	Temp=33.0* Humidity=15.0%
2020-01-17 06:27:14.060292	Temp=26.0* Humidity=75.0%
2020-01-17 06:37:14.686963	Temp=29.0* Humidity=22.0%
2020-01-17 06:47:15.313629	Temp=28.0* Humidity=25.0%
2020-01-17 06:57:15.857262	Temp=26.0* Humidity=64.0%
2020-01-17 07:07:16.483649	Temp=29.0* Humidity=26.0%
2020-01-17 07:17:17.017272	Temp=30.0* Humidity=18.0%
2020-01-17 07:27:17.643737	Temp=29.0* Humidity=17.0%
2020-01-17 07:37:18.257301	Temp=29.0* Humidity=16.0%
2020-01-17 07:47:18.847260	Temp=30.0* Humidity=14.0%
2020-01-17 07:57:19.473874	Temp=32.0* Humidity=11.0%
2020-01-17 08:07:20.017100	Temp=33.0* Humidity=10.0%
2020-01-17 08:17:20.643666	Temp=28.0* Humidity=46.0%
2020-01-17 08:27:21.270278	Temp=31.0* Humidity=49.0%
2020-01-17 08:37:21.897069	Temp=32.0* Humidity=16.0%
